 time            v(bvdd)         time            v(pvdd)         time            v(gate)         time            v(ea_en)       
 7.30078111e-05  7.30078111e+00  7.30078111e-05  7.29444946e+00  7.30078111e-05  5.75330235e+00  7.30078111e-05  7.30080846e+00 
 7.33740580e-05  7.33740580e+00  7.33740580e-05  7.32702917e+00  7.33740580e-05  6.02525014e+00  7.33740580e-05  7.33735939e+00 
 7.37200471e-05  7.37200471e+00  7.37200471e-05  7.34519555e+00  7.37200471e-05  6.28686217e+00  7.37200471e-05  7.37202797e+00 
 7.41220690e-05  7.41220690e+00  7.41220690e-05  7.30326764e+00  7.41220690e-05  6.57067851e+00  7.41220690e-05  7.41214151e+00 
 7.45537211e-05  7.45537211e+00  7.45537211e-05  7.20266695e+00  7.45537211e-05  6.85119861e+00  7.45537211e-05  7.45537242e+00 
 7.50537211e-05  7.50537211e+00  7.50537211e-05  7.09146960e+00  7.50537211e-05  6.94858601e+00  7.50537211e-05  7.50528789e+00 
 7.55537211e-05  7.55537211e+00  7.55537211e-05  6.98870179e+00  7.55537211e-05  6.88308995e+00  7.55537211e-05  7.55536144e+00 
 7.58461093e-05  7.58461093e+00  7.58461093e-05  6.93104334e+00  7.58461093e-05  6.84277423e+00  7.58461093e-05  7.58452748e+00 
 7.62237255e-05  7.62237255e+00  7.62237255e-05  6.86278509e+00  7.62237255e-05  6.79682625e+00  7.62237255e-05  7.62236509e+00 
 7.65950716e-05  7.65950716e+00  7.65950716e-05  6.81038118e+00  7.65950716e-05  6.76249683e+00  7.65950716e-05  7.65943287e+00 
 7.70950716e-05  7.70950716e+00  7.70950716e-05  6.78690422e+00  7.70950716e-05  6.75398855e+00  7.70950716e-05  7.70952037e+00 
 7.75950716e-05  7.75950716e+00  7.75950716e-05  6.81205194e+00  7.75950716e-05  6.78701630e+00  7.75950716e-05  7.75945501e+00 
 7.80950716e-05  7.80950716e+00  7.80950716e-05  6.85479223e+00  7.80950716e-05  6.83369279e+00  7.80950716e-05  7.80952789e+00 
 7.85950716e-05  7.85950716e+00  7.85950716e-05  6.89958854e+00  7.85950716e-05  6.88167312e+00  7.85950716e-05  7.85945627e+00 
